time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16;bp17;bp18;bp19;bp20;bp21;bp22;bp23;bp24;bp25;bp26;bp27;bp28;bp29;bp30;bp31;bp32
0.0;videos/cuts_train/fall01.mp4;walk;(210.78, 63.01);(212.21, 60.54);(213.16, 60.43);(214.08, 60.33);(209.69, 60.75);(208.87, 60.81);(208.15, 60.87);(215.49, 60.96);(207.36, 61.53);(212.71, 65.4);(209.44, 65.82);(223.88, 73.33);(202.39, 77.4);(230.87, 90.37);(199.68, 95.13);(231.57, 107.25);(196.37, 110.17);(232.29, 112.24);(195.25, 114.52);(230.51, 112.09);(195.76, 114.19);(229.48, 110.26);(196.61, 112.83);(221.42, 110.68);(207.82, 110.96);(225.28, 136.86);(206.78, 136.07);(223.56, 156.59);(207.81, 156.12);(221.59, 158.75);(209.24, 158.31);(223.56, 167.31);(204.88, 164.63)
0.03;videos/cuts_train/fall01.mp4;walk;(210.78, 62.75);(212.15, 60.19);(213.07, 60.08);(213.96, 59.98);(209.64, 60.4);(208.83, 60.45);(208.07, 60.51);(215.24, 60.72);(207.27, 61.39);(212.71, 65.08);(209.43, 65.32);(223.77, 73.16);(202.24, 77.33);(230.48, 90.34);(199.59, 95.09);(231.58, 107.15);(196.24, 110.14);(232.35, 112.25);(194.99, 114.51);(230.55, 112.13);(195.65, 114.18);(229.53, 110.34);(196.56, 112.82);(221.1, 109.85);(207.63, 110.49);(224.84, 135.71);(206.68, 135.38);(224.04, 156.23);(207.91, 156.08);(221.66, 158.3);(209.53, 158.14);(225.72, 162.63);(204.7, 163.8)
0.07;videos/cuts_train/fall01.mp4;walk;(210.7, 62.73);(211.97, 60.16);(212.86, 60.05);(213.75, 59.95);(209.48, 60.37);(208.66, 60.41);(207.87, 60.45);(214.94, 60.71);(207.1, 61.39);(212.61, 65.04);(209.33, 65.23);(223.51, 73.16);(202.07, 77.33);(230.04, 90.34);(199.53, 95.07);(231.58, 106.98);(196.0, 110.11);(232.34, 112.21);(194.67, 114.45);(230.55, 112.11);(195.33, 114.13);(229.55, 110.34);(196.3, 112.79);(220.54, 109.5);(207.19, 110.27);(224.29, 134.87);(206.56, 134.89);(224.45, 155.63);(207.96, 155.93);(221.85, 157.94);(209.69, 158.02);(226.78, 161.29);(204.39, 162.97)
0.1;videos/cuts_train/fall01.mp4;walk;(210.54, 62.68);(211.79, 60.09);(212.66, 59.96);(213.55, 59.85);(209.24, 60.31);(208.38, 60.34);(207.6, 60.39);(214.65, 60.59);(206.84, 61.38);(212.46, 64.92);(209.11, 65.12);(223.11, 73.16);(201.74, 77.23);(229.71, 90.32);(199.08, 94.87);(231.51, 106.73);(195.49, 110.09);(232.28, 112.08);(194.13, 114.4);(230.51, 112.0);(194.73, 114.12);(229.53, 110.27);(195.78, 112.79);(220.07, 109.29);(206.67, 110.1);(223.99, 134.71);(206.28, 134.9);(225.38, 155.99);(207.96, 156.28);(222.98, 158.72);(209.69, 158.6);(228.45, 163.34);(204.13, 163.01)
0.13;videos/cuts_train/fall01.mp4;walk;(210.34, 62.59);(211.55, 60.02);(212.44, 59.89);(213.32, 59.78);(208.98, 60.24);(208.13, 60.28);(207.37, 60.33);(214.38, 60.52);(206.61, 61.33);(212.19, 64.74);(208.86, 64.99);(222.71, 73.19);(201.53, 77.23);(229.23, 90.32);(198.98, 94.78);(231.28, 106.57);(195.31, 110.04);(232.22, 112.0);(193.87, 114.3);(230.46, 111.91);(194.45, 114.05);(229.43, 110.24);(195.54, 112.77);(219.71, 109.22);(206.27, 110.01);(223.84, 134.8);(206.0, 134.93);(225.85, 156.22);(207.95, 156.28);(223.82, 159.07);(209.7, 158.65);(228.84, 163.24);(203.99, 162.7)
0.17;videos/cuts_train/fall01.mp4;walk;(209.71, 62.35);(210.98, 59.86);(211.91, 59.75);(212.8, 59.68);(208.33, 60.08);(207.51, 60.11);(206.84, 60.16);(214.0, 60.4);(206.12, 61.13);(211.51, 64.45);(208.2, 64.68);(222.18, 73.25);(200.98, 77.19);(228.66, 90.37);(198.0, 94.72);(230.97, 106.53);(195.01, 109.92);(232.04, 111.94);(193.54, 114.15);(230.35, 111.85);(194.24, 113.95);(229.32, 110.22);(195.4, 112.68);(219.27, 109.14);(205.77, 109.87);(223.61, 134.84);(205.9, 134.94);(225.98, 156.07);(207.95, 156.24);(224.17, 158.99);(209.79, 158.62);(228.41, 162.6);(203.97, 162.42)
0.2;videos/cuts_train/fall01.mp4;walk;(208.93, 62.19);(210.21, 59.73);(211.18, 59.64);(212.08, 59.59);(207.51, 59.93);(206.8, 59.94);(206.11, 59.97);(213.47, 60.31);(205.39, 60.94);(210.75, 64.29);(207.49, 64.48);(221.75, 73.35);(200.29, 77.18);(228.13, 90.56);(197.53, 94.72);(230.19, 106.5);(194.46, 109.75);(231.51, 111.91);(192.81, 113.93);(229.94, 111.78);(193.26, 113.7);(228.89, 110.15);(194.51, 112.44);(218.86, 109.17);(205.38, 109.88);(223.47, 134.86);(205.88, 134.97);(226.51, 155.92);(207.98, 156.14);(224.82, 158.98);(209.88, 158.53);(228.55, 162.72);(203.92, 162.0)
0.23;videos/cuts_train/fall01.mp4;walk;(208.2, 61.95);(209.51, 59.52);(210.52, 59.42);(211.45, 59.37);(206.79, 59.74);(206.15, 59.76);(205.39, 59.78);(212.98, 60.13);(204.8, 60.79);(210.13, 64.11);(206.91, 64.3);(221.42, 73.52);(199.66, 77.16);(227.4, 90.99);(196.82, 94.72);(229.72, 106.58);(193.5, 109.74);(231.13, 111.96);(191.7, 113.93);(229.69, 111.79);(192.07, 113.7);(228.65, 110.18);(193.43, 112.44);(218.83, 109.06);(205.21, 109.85);(223.53, 134.86);(205.91, 134.98);(226.88, 156.05);(207.93, 156.12);(225.1, 159.23);(209.87, 158.51);(229.38, 165.32);(203.92, 161.88)
0.27;videos/cuts_train/fall01.mp4;walk;(207.83, 61.97);(209.11, 59.53);(210.11, 59.43);(211.03, 59.37);(206.39, 59.75);(205.75, 59.77);(204.96, 59.79);(212.57, 60.11);(204.35, 60.8);(209.78, 64.12);(206.59, 64.33);(221.49, 73.76);(199.13, 77.24);(227.22, 91.35);(196.14, 94.9);(229.53, 106.68);(192.08, 109.79);(230.85, 112.01);(190.23, 114.04);(229.5, 111.81);(190.47, 113.87);(228.48, 110.24);(191.74, 112.56);(218.83, 109.08);(205.11, 109.93);(223.55, 135.18);(206.08, 135.05);(226.7, 156.06);(207.77, 156.06);(224.99, 159.23);(209.7, 158.48);(230.04, 164.27);(203.89, 161.6)
0.3;videos/cuts_train/fall01.mp4;walk;(207.56, 61.98);(208.8, 59.54);(209.79, 59.44);(210.69, 59.38);(206.1, 59.76);(205.46, 59.78);(204.68, 59.81);(212.17, 60.1);(204.02, 60.81);(209.48, 64.14);(206.3, 64.36);(221.34, 73.92);(198.52, 77.26);(227.13, 91.48);(195.53, 94.98);(229.33, 106.68);(191.67, 109.93);(230.54, 112.0);(189.75, 114.39);(229.19, 111.77);(189.89, 114.47);(228.18, 110.21);(191.34, 113.01);(218.67, 109.14);(204.85, 110.1);(223.23, 135.2);(206.15, 135.06);(226.58, 156.12);(207.64, 156.02);(224.94, 159.37);(209.48, 158.47);(229.81, 163.75);(203.87, 161.36)
