time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16;bp17;bp18;bp19;bp20;bp21;bp22;bp23;bp24;bp25;bp26;bp27;bp28;bp29;bp30;bp31;bp32
0.0;videos/cuts_test/50wtf1.mp4;walk;(649.54, 108.7);(656.36, 98.17);(660.15, 98.12);(663.05, 98.36);(643.09, 99.14);(638.78, 99.79);(634.28, 100.41);(670.31, 104.05);(630.27, 105.89);(658.38, 120.4);(641.53, 120.75);(705.17, 175.07);(600.41, 177.77);(716.03, 254.3);(585.99, 259.67);(710.93, 322.57);(592.33, 326.07);(711.06, 349.46);(591.13, 352.09);(703.48, 347.06);(598.97, 348.57);(701.3, 339.38);(601.55, 340.54);(680.64, 328.71);(621.07, 329.36);(682.02, 452.74);(624.17, 448.5);(676.25, 562.94);(633.06, 557.6);(670.46, 580.16);(639.46, 573.7);(691.25, 603.65);(623.25, 587.89)
0.04;videos/cuts_test/50wtf1.mp4;walk;(649.88, 108.71);(656.67, 98.2);(660.42, 98.18);(663.27, 98.41);(643.33, 99.12);(639.03, 99.73);(634.66, 100.3);(670.33, 104.18);(630.36, 105.99);(658.42, 120.62);(641.85, 121.21);(705.26, 175.15);(600.39, 177.35);(716.26, 254.28);(585.89, 259.56);(711.0, 322.6);(592.34, 326.88);(711.57, 349.29);(591.12, 352.14);(704.05, 347.06);(599.16, 348.94);(701.7, 339.65);(602.02, 341.74);(681.09, 328.75);(621.56, 329.36);(681.99, 452.42);(625.07, 449.32);(676.59, 561.25);(633.05, 557.6);(670.28, 575.64);(638.71, 572.36);(690.98, 600.93);(624.48, 587.94)
0.08;videos/cuts_test/50wtf1.mp4;walk;(650.09, 108.72);(656.85, 98.21);(660.58, 98.21);(663.39, 98.43);(643.51, 99.07);(639.22, 99.61);(634.95, 100.12);(670.34, 104.25);(630.44, 106.01);(658.43, 120.77);(642.06, 121.49);(705.28, 175.2);(600.37, 177.08);(716.37, 254.21);(585.71, 259.37);(711.05, 322.61);(592.36, 327.19);(711.88, 349.21);(591.11, 352.14);(704.39, 347.06);(599.25, 349.07);(701.93, 339.86);(602.24, 342.27);(681.29, 328.72);(621.82, 329.28);(681.93, 451.93);(625.55, 449.39);(676.77, 559.76);(633.05, 557.59);(670.18, 572.55);(638.41, 571.47);(688.88, 598.41);(625.04, 588.01)
0.13;videos/cuts_test/50wtf1.mp4;walk;(650.24, 108.71);(656.97, 98.21);(660.69, 98.21);(663.49, 98.43);(643.64, 98.98);(639.37, 99.45);(635.16, 99.9);(670.34, 104.28);(630.5, 106.01);(658.44, 120.84);(642.19, 121.65);(705.29, 175.2);(600.37, 176.79);(716.45, 254.13);(585.6, 259.18);(711.07, 322.61);(592.37, 327.27);(712.05, 349.18);(591.11, 352.11);(704.56, 347.06);(599.34, 349.09);(702.05, 340.05);(602.43, 342.48);(681.37, 328.68);(621.99, 329.19);(681.89, 451.72);(625.74, 449.41);(676.83, 558.94);(633.11, 557.74);(670.1, 571.2);(638.34, 571.35);(687.71, 597.1);(625.52, 588.21)
0.17;videos/cuts_test/50wtf1.mp4;walk;(650.37, 108.68);(657.08, 98.19);(660.79, 98.21);(663.58, 98.43);(643.77, 98.84);(639.5, 99.25);(635.35, 99.66);(670.36, 104.28);(630.57, 106.01);(658.46, 120.85);(642.33, 121.69);(705.3, 175.22);(600.37, 176.57);(716.55, 254.03);(585.57, 258.99);(711.11, 322.62);(592.38, 327.31);(712.17, 349.17);(591.1, 352.06);(704.67, 347.07);(599.38, 349.09);(702.14, 340.2);(602.55, 342.57);(681.41, 328.63);(622.11, 329.12);(681.86, 451.46);(625.78, 449.4);(676.88, 558.18);(633.19, 557.79);(670.08, 569.99);(638.33, 571.29);(686.78, 595.66);(625.53, 588.29)
0.21;videos/cuts_test/50wtf1.mp4;walk;(650.47, 108.6);(657.15, 98.15);(660.86, 98.19);(663.66, 98.4);(643.86, 98.69);(639.59, 99.06);(635.47, 99.45);(670.37, 104.28);(630.61, 106.0);(658.48, 120.85);(642.44, 121.7);(705.33, 175.24);(600.37, 176.4);(716.64, 253.99);(585.55, 258.86);(711.12, 322.66);(592.39, 327.42);(712.17, 349.17);(591.09, 352.05);(704.68, 347.11);(599.41, 349.1);(702.15, 340.41);(602.61, 342.68);(681.4, 328.63);(622.13, 329.09);(681.85, 451.39);(625.78, 449.34);(676.98, 557.71);(633.22, 557.78);(670.08, 569.57);(638.32, 571.19);(686.5, 595.18);(625.51, 588.35)
0.25;videos/cuts_test/50wtf1.mp4;walk;(650.57, 108.55);(657.25, 98.11);(660.95, 98.17);(663.78, 98.39);(643.95, 98.57);(639.68, 98.91);(635.58, 99.28);(670.41, 104.28);(630.65, 105.99);(658.52, 120.85);(642.55, 121.71);(705.36, 175.3);(600.34, 176.33);(716.7, 253.99);(585.53, 258.86);(711.08, 322.81);(592.39, 327.55);(712.13, 349.23);(591.09, 352.05);(704.64, 347.25);(599.48, 349.11);(702.12, 340.76);(602.7, 342.73);(681.39, 328.69);(622.13, 329.1);(681.85, 451.39);(625.81, 449.33);(677.09, 557.34);(633.26, 557.75);(670.08, 569.22);(638.31, 571.08);(686.4, 594.75);(625.49, 588.35)
0.29;videos/cuts_test/50wtf1.mp4;walk;(650.64, 108.51);(657.32, 98.09);(661.02, 98.16);(663.87, 98.38);(644.02, 98.48);(639.74, 98.78);(635.65, 99.15);(670.45, 104.29);(630.68, 105.97);(658.54, 120.85);(642.63, 121.71);(705.37, 175.35);(600.32, 176.3);(716.73, 253.99);(585.53, 258.86);(711.03, 322.99);(592.39, 327.58);(712.07, 349.31);(591.09, 352.04);(704.57, 347.38);(599.54, 349.11);(702.06, 341.04);(602.8, 342.74);(681.39, 328.73);(622.13, 329.1);(681.86, 451.39);(625.86, 449.33);(677.2, 557.33);(633.3, 557.75);(670.08, 569.52);(638.3, 571.08);(686.46, 594.75);(625.48, 588.35)
0.33;videos/cuts_test/50wtf1.mp4;walk;(650.66, 108.46);(657.34, 98.05);(661.05, 98.13);(663.91, 98.36);(644.04, 98.38);(639.76, 98.65);(635.68, 99.01);(670.47, 104.29);(630.7, 105.94);(658.54, 120.85);(642.66, 121.71);(705.4, 175.44);(600.3, 176.27);(716.74, 253.99);(585.54, 258.84);(710.99, 323.19);(592.39, 327.56);(712.03, 349.42);(591.08, 352.0);(704.54, 347.55);(599.57, 349.09);(702.04, 341.32);(602.87, 342.74);(681.38, 328.81);(622.12, 329.1);(681.86, 451.4);(625.89, 449.36);(677.25, 557.28);(633.35, 557.79);(670.08, 569.64);(638.3, 571.09);(686.47, 594.64);(625.49, 588.4)
0.38;videos/cuts_test/50wtf1.mp4;walk;(650.66, 108.38);(657.35, 97.99);(661.06, 98.1);(663.93, 98.32);(644.04, 98.28);(639.77, 98.53);(635.68, 98.89);(670.49, 104.29);(630.7, 105.91);(658.55, 120.83);(642.66, 121.69);(705.42, 175.51);(600.29, 176.21);(716.73, 253.97);(585.58, 258.77);(710.94, 323.38);(592.39, 327.46);(711.97, 349.53);(591.08, 351.96);(704.51, 347.69);(599.59, 349.07);(702.02, 341.52);(602.93, 342.72);(681.38, 328.82);(622.11, 329.07);(681.86, 451.37);(625.91, 449.35);(677.3, 557.17);(633.37, 557.79);(670.09, 569.56);(638.3, 571.1);(686.46, 594.52);(625.41, 588.45)
